_url,birth_year,weight,height,nationality,BMI
bruno-surra,1964.0,68.80536911495527,183.9023378161413,Italy,20.34453784734711
gerard-rue,1965.0,74.0,182.0,France,22.34029706557179
nathan-van-hooydonck,1995.0,78.0,192.0,Belgium,21.158854166666668
jose-felix-parra,1997.0,55.0,171.0,Spain,18.80920625149619
manuel-penalver,1998.0,67.0,177.0,Spain,21.38593635289987
willy-moonen,1947.0,66.91960785588815,180.72369268355908,Belgium,20.48911517236503
chad-haga,1988.0,71.5,191.0,United States,19.599243441791614
joost-van-leijen,1984.0,73.0,192.0,Netherlands,19.80251736111111
stian-remme,1982.0,60.854656471880666,175.42004152216347,Norway,19.775860788034294
jose-angel-gomez-marchante,1980.0,60.0,175.0,Spain,19.59183673469388
giuseppe-guerini,1970.0,65.0,178.0,Italy,20.515086478979924
evgueny-anachkine,1970.0,76.89135783013063,185.0181660857459,Russia,22.462018802443875
maurizio-biondo,1981.0,58.9479733564034,173.78517360417982,Italy,19.51836496443508
rony-martias,1980.0,71.0,181.0,France,21.672110130948383
eloy-teruel,1982.0,73.0,181.0,Spain,22.28259210646805
julien-el-fares,1985.0,62.0,172.0,France,20.9572742022715
patrice-thevenard,1954.0,65.40744121043514,178.50052021177672,France,20.528073181124384
michal-paluta,1995.0,65.0,174.0,Poland,21.469150482230148
luc-suykerbuyk,1964.0,62.36787196262789,169.85716611439537,Netherlands,21.616888263610782
fabien-grellier,1994.0,65.0,180.0,France,20.061728395061728
bernard-bourreau,1951.0,63.0,164.0,France,23.423557406305772
volker-ordowski,1973.0,59.0,170.0,Germany,20.41522491349481
roy-schuiten,1950.0,83.0,184.0,Netherlands,24.515595463137995
graeme-brown,1979.0,76.0,180.0,Australia,23.456790123456788
alain-gallopin,1957.0,70.21111280228646,181.32366102595063,France,21.35486833707953
phillip-gaimon,1986.0,67.0,185.0,United States,19.576333089846603
andrea-fedi,1991.0,70.0,184.0,Italy,20.6758034026465
jean-claude-theilliere,1944.0,62.37735533259276,178.11929494867195,France,19.660973727995152
paul-kimmage,1962.0,75.04756601582869,189.3091653272674,Ireland,20.940802951613307
piotr-przydzial,1974.0,80.0,186.0,Poland,23.12406058503873
alessandro-vanotti,1980.0,70.0,185.0,Italy,20.45288531775018
andreas-dietziker,1982.0,67.0,179.0,Switzerland,20.91070815517618
alejandro-paleo,1981.0,62.45366826234729,175.9663113157687,Spain,20.16967459134094
thomas-gloag,2001.0,60.0,181.0,Great Britain,18.314459265590184
samuel-blanco,1994.0,66.64592029407908,178.23562512750286,Spain,20.97898836196802
sean-sullivan,1978.0,63.95991151350182,172.9267247616303,Australia,21.38866223461193
gaetano-baronchelli,1952.0,72.18789772914,192.59203710044068,Italy,19.462012210372077
mario-scirea,1964.0,80.0,193.0,Italy,21.47708663319821
hector-palacio,1969.0,63.0,167.0,Colombia,22.58955143605005
julien-mazet,1981.0,85.68083396014187,192.65645182939423,France,23.08429256439582
roberto-giucolsi,1968.0,73.04959713992878,180.5247937644236,Italy,22.41527700326814
leonardo-guidi,1974.0,71.7403441234177,182.3581249567217,Italy,21.57313292685185
aitor-alonso,1980.0,76.80454817243505,187.16562453158733,Spain,21.92475571362963
noel-vanclooster,1943.0,75.95092668456124,192.9491201975576,Belgium,20.400812851710345
jesus-rodriguez-rodriguez,1960.0,58.76700511636552,178.69727168944678,Spain,18.403385143847817
johann-van-zyl,1991.0,72.0,190.0,South Africa,19.94459833795014
walter-beneteau,1972.0,67.0,175.0,France,21.877551020408163
noan-lelarge,1975.0,81.5206512439274,182.0939099042697,France,24.58537280451572
