_url,birth_year,weight,height,nationality,BMI
jan-maas,1996.0,69.0,189.0,Netherlands,19.31636852271773
urs-graf,1974.0,78.81048533680666,183.1155957124384,Switzerland,23.50354297488984
anthony-perez,1991.0,70.0,190.0,France,19.390581717451525
morten-hulgaard,1998.0,73.0,181.0,Denmark,22.28259210646805
manuele-tarozzi,1998.0,68.04810117180848,181.64029020945736,Italy,20.62488980389623
peter-van-de-knoop,1957.0,70.62838015291639,189.41278401677368,Netherlands,19.686144610288668
claude-criquielion,1957.0,76.18098365211284,184.2954098734641,Belgium,22.42939393511442
cees-jeurissen,1976.0,64.86656519673225,175.91936615240536,Netherlands,20.960111988117227
jean-pierre-monsere,1948.0,66.0,178.0,Belgium,20.83070319404116
andre-peirsman,1948.0,70.54805230142026,185.24648974648164,Belgium,20.55819843567956
fiorenzo-favero,1955.0,68.00126962288516,181.43015013710487,Italy,20.65846750643169
jose-del-ramo,1960.0,64.99176541780444,175.44980262281155,Spain,21.113127298200784
oleg-iarochenko,1962.0,61.56393608390746,177.6851185610608,Russia,19.49953548579659
thomas-durst,1967.0,70.4889034928946,187.94893405267973,Germany,19.954507846628587
juan-carlos-martin,1967.0,66.04361130449294,173.3091711027841,Spain,21.988100962847724
jenthe-biermans,1995.0,78.0,184.0,Belgium,23.03875236294896
juan-martin-zapatero-marcos,1964.0,69.50330817174262,177.76939599892023,Spain,21.993354915995653
giovanni-battaglin,1951.0,68.27374606841762,176.49336253460245,Italy,21.91780091904498
david-canada,1975.0,65.0,176.0,Spain,20.983987603305785
orluis-aular,1996.0,65.0,176.0,Venezuela,20.983987603305785
joab-schneiter,1998.0,73.93293560248856,182.4286079042168,Switzerland,22.215293870635392
pierre-henri-lecuisinier,1993.0,65.0,176.0,France,20.983987603305785
julien-laidoun,1980.0,74.22362872585718,187.37905865239583,France,21.139761201898125
jean-louis-danguillaume,1949.0,74.18214132460011,187.4796350249549,France,21.105282352316305
ander-okamika,1993.0,70.0,190.0,Spain,19.390581717451525
hans-langerijs,1953.0,68.1411448374228,181.58102881091853,Netherlands,20.66657369425257
jose-antonio-borja,1964.0,73.72306657230976,181.9111997430805,Spain,22.278426584002364
jerome-simon,1960.0,70.56274273291164,186.2482512289202,France,20.34187802903838
alexander-gontsjenkov,1970.0,74.0,183.0,Ukraine,22.096807907073963
ezio-serpelloni,1959.0,72.1304997070873,179.8934620655351,Italy,22.28887666673199
mario-mantovan,1965.0,68.39342502624999,182.058301583878,Italy,20.63447288829558
simon-vitzthum,1995.0,70.0,190.0,Switzerland,19.390581717451525
rodolfo-massi,1965.0,61.426211289191926,174.04196696927454,Italy,20.278963962849897
ludovic-auger,1971.0,78.0,184.0,France,23.03875236294896
julian-barcina,1966.0,61.66282483780687,177.23936770362656,Spain,19.62921953647804
jesus-hernandez-ubeda,1959.0,66.62381491286386,171.0026744186875,Spain,22.783670526120627
pawel-cieslik,1986.0,65.0,176.0,Poland,20.983987603305785
massimo-graziato,1988.0,73.0,181.0,Italy,22.28259210646805
gianni-gobbini,1976.0,64.94363817536261,176.41698745082556,Italy,20.866797958707277
fernando-cabrero,1955.0,61.72574290311029,176.01462706484182,Spain,19.92364551137448
alessio-nieri,2001.0,66.75371315855658,172.48559533889272,Italy,22.43725709066632
