_url,birth_year,weight,height,nationality
bruno-surra,1964.0,,,Italy
gerard-rue,1965.0,74.0,182.0,France
jan-maas,1996.0,69.0,189.0,Netherlands
nathan-van-hooydonck,1995.0,78.0,192.0,Belgium
jose-felix-parra,1997.0,55.0,171.0,Spain
manuel-penalver,1998.0,67.0,177.0,Spain
willy-moonen,1947.0,,,Belgium
chad-haga,1988.0,71.5,191.0,United States
joost-van-leijen,1984.0,73.0,192.0,Netherlands
scott-davies,,,,
stian-remme,1982.0,,,Norway
jose-angel-gomez-marchante,1980.0,60.0,175.0,Spain
giuseppe-guerini,1970.0,65.0,178.0,Italy
evgueny-anachkine,1970.0,,,Russia
maurizio-biondo,1981.0,,,Italy
rony-martias,1980.0,71.0,181.0,France
eloy-teruel,1982.0,73.0,181.0,Spain
julien-el-fares,1985.0,62.0,172.0,France
patrice-thevenard,1954.0,,,France
michal-paluta,1995.0,65.0,174.0,Poland
luc-suykerbuyk,1964.0,,,Netherlands
fabien-grellier,1994.0,65.0,180.0,France
bernard-bourreau,1951.0,63.0,164.0,France
volker-ordowski,1973.0,59.0,170.0,Germany
roy-schuiten,1950.0,83.0,184.0,Netherlands
graeme-brown,1979.0,76.0,180.0,Australia
alain-gallopin,1957.0,,,France
phillip-gaimon,1986.0,67.0,185.0,United States
andrea-fedi,1991.0,70.0,184.0,Italy
urs-graf,1974.0,,,Switzerland
jean-claude-theilliere,1944.0,,,France
paul-kimmage,1962.0,,,Ireland
piotr-przydzial,1974.0,80.0,186.0,Poland
alessandro-vanotti,1980.0,70.0,185.0,Italy
anthony-perez,1991.0,70.0,190.0,France
morten-hulgaard,1998.0,73.0,181.0,Denmark
andreas-dietziker,1982.0,67.0,179.0,Switzerland
alejandro-paleo,1981.0,,,Spain
thomas-gloag,2001.0,60.0,181.0,Great Britain
samuel-blanco,1994.0,,,Spain
sean-sullivan,1978.0,,,Australia
gaetano-baronchelli,1952.0,,,Italy
mario-scirea,1964.0,80.0,193.0,Italy
hector-palacio,1969.0,63.0,167.0,Colombia
julien-mazet,1981.0,,,France
roberto-giucolsi,1968.0,,,Italy
leonardo-guidi,1974.0,,,Italy
aitor-alonso,1980.0,,,Spain
noel-vanclooster,1943.0,,,Belgium
jesus-rodriguez-rodriguez,1960.0,,,Spain
johann-van-zyl,1991.0,72.0,190.0,South Africa
walter-beneteau,1972.0,67.0,175.0,France
noan-lelarge,1975.0,,,France
eric-van-lancker,1961.0,,,Belgium
dylan-sunderland,1996.0,67.0,180.0,Australia
corrado-serina,1975.0,73.0,180.0,Italy
luca-maggioni,1973.0,,,Italy
eduardo-sepulveda,1991.0,59.0,173.0,Argentina
cedric-beullens,1997.0,79.0,190.0,Belgium
christian-muselet,1952.0,,,France
egor-silin,1988.0,61.0,177.0,Russia
stephane-berges,1975.0,68.0,181.0,France
bruce-biddle,1949.0,64.0,173.0,New Zealand
marc-siemons,1966.0,,,Netherlands
theo-smit,1951.0,,,Netherlands
andrew-fenn,1990.0,79.0,186.0,Great Britain
jeffry-romero,1989.0,55.0,176.0,Colombia
luigi-sestili,1983.0,,,Italy
iban-herrero-atienzar,1974.0,,,Spain
remigius-lupeikis,1964.0,80.0,182.0,Lithuania
jules-bruessing,1949.0,,,Netherlands
theo-eltink,1981.0,,,Netherlands
willy-vigouroux,1956.0,,,Belgium
jens-wallays,1992.0,64.0,176.0,Belgium
mads-pedersen,1995.0,70.0,180.0,Denmark
jose-herrada,1985.0,65.0,175.0,Spain
idar-andersen,1999.0,,182.0,Norway
sylvain-moniquet,1998.0,61.0,175.0,Belgium
pedro-miguel-lopes,1999.0,68.0,180.0,Portugal
adriano-baffi,1962.0,70.0,176.0,Italy
thibau-nys,2002.0,64.0,176.0,Belgium
gert-steegmans,1980.0,82.0,190.0,Belgium
marco-haller,1991.0,72.0,178.0,Austria
matthew-holmes,1993.0,67.0,178.0,Great Britain
moreno-hofland,1991.0,71.0,179.0,Netherlands
venancio-teran,1961.0,,,France
jos-van-emden,1985.0,78.0,186.0,Netherlands
michael-matthews,1990.0,72.0,178.0,Australia
juan-ayuso-pesquera,2002.0,65.0,183.0,Spain
jorge-azanza,1982.0,68.0,185.0,Spain
valentin-dorronsoro,1959.0,,,Spain
eddy-verstraeten,1948.0,,,Belgium
peter-mazur,1982.0,73.0,177.0,Poland
paulo-jose-dos-santos-ferreira,1962.0,,,Portugal
wim-omloop,1971.0,,,Belgium
sascha-henrix,1973.0,,,Germany
manuele-tarozzi,1998.0,,,Italy
einer-rubio,1998.0,56.0,164.0,Colombia
roy-knickman,1965.0,,,United States
alberto-minetti,1957.0,69.0,181.0,Italy
luigi-della-bianca,1972.0,,,Italy
jannes-slendebroek,1959.0,,,Netherlands
primoz-cerin,1962.0,,,Yugoslavia
santiago-perez,1977.0,61.0,179.0,Spain
francisco-leon,1973.0,,,Spain
rein-taaramae,1987.0,68.0,186.0,Estonia
anselmo-fuerte-abelenda,1962.0,,,Spain
sebastien-chavanel,1981.0,77.0,183.0,France
andrei-nechita,1988.0,71.0,183.0,Romania
tadej-pogacar,1998.0,66.0,176.0,Slovenia
jay-sweet,1975.0,69.0,175.0,Australia
nic-hamilton,1986.0,,,Canada
enrico-barbin,1990.0,60.0,166.0,Italy
alain-van-den-bossche,1965.0,,,Belgium
mario-de-sarraga,1980.0,69.0,,Spain
hubert-arbes,1950.0,,,France
kevin-seeldraeyers,1986.0,60.0,174.0,Belgium
peter-van-de-knoop,1957.0,,,Netherlands
daniele-righi,1976.0,70.0,180.0,Italy
felix-gall,1998.0,66.0,180.0,Austria
jordi-meeus,1998.0,80.0,190.0,Belgium
louis-de-koning,1967.0,,,Netherlands
harm-ottenbros,1943.0,,,Netherlands
stephan-joho,1963.0,,,Switzerland
andre-carvalho,1997.0,66.0,181.0,Portugal
miroslav-uryga,1962.0,,,Poland
luis-ricardo-mesa-saavedra,1973.0,,,Colombia
joseba-lopez-cuesta,2000.0,66.0,182.0,Spain
marco-villa,1969.0,,,Italy
jacques-jolidon,1969.0,,,Switzerland
dirk-wayenberg,1955.0,,,Belgium
emils-liepins,1992.0,67.0,175.0,Latvia
jose-salvador-sanchis,1963.0,,,Spain
giulio-tomi,1978.0,,,Italy
vladimir-karpets,1980.0,79.0,190.0,Russia
tom-wirtgen,1996.0,77.0,190.0,Luxembourg
eric-berthou,1980.0,72.0,187.0,France
martin-emilio-rodriguez,1942.0,70.0,178.0,Colombia
claudio-cerri,1960.0,,,Italy
benoit-joachim,1976.0,82.0,188.0,Luxembourg
salvatore-scamardella,1979.0,,,Italy
florian-guillou,1982.0,71.0,195.0,France
david-munoz,1979.0,,,Spain
jos-de-schoenmaecker,1947.0,,,Belgium
andre-dierickx,1947.0,74.0,180.0,Belgium
claude-criquielion,1957.0,,,Belgium
stef-clement,1982.0,66.0,181.0,Netherlands
gosta-pettersson,1940.0,75.0,189.0,Sweden
silvano-lorenzon,1964.0,,,Italy
koen-beeckman,1973.0,66.0,177.0,Belgium
roberto-torres,1964.0,,,Spain
darren-lill,1982.0,,,South Africa
claudio-camin,1970.0,,,Italy
kurt-verleden,1963.0,,,Belgium
daniel-musiol,1983.0,70.0,182.0,Germany
michel-lafis,1967.0,78.0,185.0,Sweden
hugo-page,2001.0,71.0,185.0,France
axel-mariault,1998.0,58.0,169.0,France
maurizio-vandelli,1964.0,,,Italy
maciej-bodnar,1985.0,77.0,186.0,Poland
yecid-sierra,1994.0,66.0,184.0,Colombia
edgar-humberto-ruiz,1971.0,,,Colombia
laurens-de-vreese,1988.0,78.0,190.0,Belgium
harald-maier,1960.0,,,Austria
marco-brenner,2002.0,59.0,181.0,Germany
tony-martin,1985.0,75.0,185.0,Germany
jakub-kaczmarek,1993.0,66.0,181.0,Poland
filippo-zana,1999.0,65.0,185.0,Italy
miguel-angel-pena,1970.0,,,Spain
robert-alban,1952.0,,,France
matteo-bono,1983.0,60.0,171.0,Italy
antonio-coll,1959.0,,,Spain
manuel-mesa,1944.0,,,Spain
igor-anton,1983.0,64.0,173.0,Spain
raymond-kreder,1989.0,70.0,177.0,Netherlands
pierre-gautherat,2003.0,70.0,177.0,France
cees-jeurissen,1976.0,,,Netherlands
anthony-roux,1987.0,73.0,188.0,France
willy-in-t-ven,1943.0,,,Belgium
dmitry-nelyubin,1971.0,,,Russia
sebastian-schonberger,1994.0,64.0,181.0,Austria
ennio-salvador,1960.0,,,Italy
pierrick-fedrigo,1978.0,66.0,172.0,France
valerio-tebaldi,1965.0,,,Italy
marlon-alirio-perez-arango,1976.0,68.0,175.0,Colombia
giampaolo-cheula,1979.0,62.0,178.0,Italy
angel-madrazo,1988.0,61.0,171.0,Spain
antonio-tiberi,2001.0,62.0,182.0,Italy
vincent-lavenu,1956.0,,,France
jacky-coene,1946.0,,,Belgium
gorazd-stangelj,1973.0,70.0,182.0,Slovenia
theo-verschueren,1943.0,,,Belgium
arvis-piziks,1969.0,70.0,176.0,Latvia
markus-eichler,1982.0,78.0,185.0,Germany
torsten-hiekmann,1980.0,70.0,183.0,Germany
jelle-vanendert,1985.0,62.0,184.0,Belgium
sven-vandousselaere,1988.0,71.0,181.0,Belgium
jean-pierre-berckmans,1948.0,,,Belgium
pierino-primavera,1945.0,,,Italy
cristian-zanolini,1968.0,,,Italy
maurizio-fondriest,1965.0,70.0,182.0,Italy
