_url,birth_year,weight,height,nationality
bruno-surra,1964.0,68.80536911495527,183.9023378161413,Italy
gerard-rue,1965.0,74.0,182.0,France
jan-maas,1996.0,69.0,189.0,Netherlands
nathan-van-hooydonck,1995.0,78.0,192.0,Belgium
jose-felix-parra,1997.0,55.0,171.0,Spain
manuel-penalver,1998.0,67.0,177.0,Spain
willy-moonen,1947.0,66.91960785588815,180.72369268355908,Belgium
chad-haga,1988.0,71.5,191.0,United States
joost-van-leijen,1984.0,73.0,192.0,Netherlands
stian-remme,1982.0,60.854656471880666,175.42004152216347,Norway
jose-angel-gomez-marchante,1980.0,60.0,175.0,Spain
giuseppe-guerini,1970.0,65.0,178.0,Italy
evgueny-anachkine,1970.0,76.89135783013063,185.0181660857459,Russia
maurizio-biondo,1981.0,58.9479733564034,173.78517360417982,Italy
rony-martias,1980.0,71.0,181.0,France
eloy-teruel,1982.0,73.0,181.0,Spain
julien-el-fares,1985.0,62.0,172.0,France
patrice-thevenard,1954.0,65.40744121043514,178.50052021177672,France
michal-paluta,1995.0,65.0,174.0,Poland
luc-suykerbuyk,1964.0,62.36787196262789,169.85716611439537,Netherlands
fabien-grellier,1994.0,65.0,180.0,France
bernard-bourreau,1951.0,63.0,164.0,France
volker-ordowski,1973.0,59.0,170.0,Germany
roy-schuiten,1950.0,83.0,184.0,Netherlands
graeme-brown,1979.0,76.0,180.0,Australia
alain-gallopin,1957.0,70.21111280228646,181.32366102595063,France
phillip-gaimon,1986.0,67.0,185.0,United States
andrea-fedi,1991.0,70.0,184.0,Italy
urs-graf,1974.0,78.81048533680666,183.1155957124384,Switzerland
jean-claude-theilliere,1944.0,62.37735533259276,178.11929494867195,France
paul-kimmage,1962.0,75.04756601582869,189.3091653272674,Ireland
piotr-przydzial,1974.0,80.0,186.0,Poland
alessandro-vanotti,1980.0,70.0,185.0,Italy
anthony-perez,1991.0,70.0,190.0,France
morten-hulgaard,1998.0,73.0,181.0,Denmark
andreas-dietziker,1982.0,67.0,179.0,Switzerland
alejandro-paleo,1981.0,62.45366826234729,175.96631131576873,Spain
thomas-gloag,2001.0,60.0,181.0,Great Britain
samuel-blanco,1994.0,66.64592029407908,178.23562512750286,Spain
sean-sullivan,1978.0,63.95991151350182,172.9267247616303,Australia
gaetano-baronchelli,1952.0,72.18789772914,192.59203710044068,Italy
mario-scirea,1964.0,80.0,193.0,Italy
hector-palacio,1969.0,63.0,167.0,Colombia
julien-mazet,1981.0,85.68083396014187,192.65645182939426,France
roberto-giucolsi,1968.0,73.04959713992878,180.5247937644236,Italy
leonardo-guidi,1974.0,71.7403441234177,182.3581249567217,Italy
aitor-alonso,1980.0,76.80454817243505,187.16562453158733,Spain
noel-vanclooster,1943.0,75.95092668456124,192.94912019755753,Belgium
jesus-rodriguez-rodriguez,1960.0,58.767005116365524,178.69727168944678,Spain
johann-van-zyl,1991.0,72.0,190.0,South Africa
walter-beneteau,1972.0,67.0,175.0,France
noan-lelarge,1975.0,81.5206512439274,182.0939099042697,France
eric-van-lancker,1961.0,61.4376793828108,168.17673896047185,Belgium
dylan-sunderland,1996.0,67.0,180.0,Australia
corrado-serina,1975.0,73.0,180.0,Italy
luca-maggioni,1973.0,67.28383617051558,186.3558137021708,Italy
eduardo-sepulveda,1991.0,59.0,173.0,Argentina
cedric-beullens,1997.0,79.0,190.0,Belgium
christian-muselet,1952.0,67.00171137681495,172.15018684612332,France
egor-silin,1988.0,61.0,177.0,Russia
stephane-berges,1975.0,68.0,181.0,France
bruce-biddle,1949.0,64.0,173.0,New Zealand
marc-siemons,1966.0,67.58101699393649,175.92387770485172,Netherlands
theo-smit,1951.0,71.00293720004649,179.24469981342745,Netherlands
andrew-fenn,1990.0,79.0,186.0,Great Britain
jeffry-romero,1989.0,55.0,176.0,Colombia
luigi-sestili,1983.0,63.56438888113307,171.70075851605864,Italy
iban-herrero-atienzar,1974.0,66.36506611553966,180.4941643221933,Spain
remigius-lupeikis,1964.0,80.0,182.0,Lithuania
jules-bruessing,1949.0,73.87710696796809,178.40525935531,Netherlands
theo-eltink,1981.0,81.72487761845358,190.26503128281723,Netherlands
willy-vigouroux,1956.0,72.09164457223675,181.36698086260975,Belgium
jens-wallays,1992.0,64.0,176.0,Belgium
mads-pedersen,1995.0,70.0,180.0,Denmark
jose-herrada,1985.0,65.0,175.0,Spain
idar-andersen,1999.0,71.52787648780941,182.0,Norway
sylvain-moniquet,1998.0,61.0,175.0,Belgium
pedro-miguel-lopes,1999.0,68.0,180.0,Portugal
adriano-baffi,1962.0,70.0,176.0,Italy
thibau-nys,2002.0,64.0,176.0,Belgium
gert-steegmans,1980.0,82.0,190.0,Belgium
marco-haller,1991.0,72.0,178.0,Austria
matthew-holmes,1993.0,67.0,178.0,Great Britain
moreno-hofland,1991.0,71.0,179.0,Netherlands
venancio-teran,1961.0,62.9839217924497,178.8042430875817,France
jos-van-emden,1985.0,78.0,186.0,Netherlands
michael-matthews,1990.0,72.0,178.0,Australia
juan-ayuso-pesquera,2002.0,65.0,183.0,Spain
jorge-azanza,1982.0,68.0,185.0,Spain
valentin-dorronsoro,1959.0,67.25917798649178,176.97668647258234,Spain
eddy-verstraeten,1948.0,89.01584367098773,196.61935634377272,Belgium
peter-mazur,1982.0,73.0,177.0,Poland
paulo-jose-dos-santos-ferreira,1962.0,74.87268816254863,179.29471087330748,Portugal
wim-omloop,1971.0,69.91943799961427,181.51302282400226,Belgium
sascha-henrix,1973.0,71.07309505041498,176.34416537886537,Germany
manuele-tarozzi,1998.0,68.04810117180848,181.64029020945736,Italy
einer-rubio,1998.0,56.0,164.0,Colombia
roy-knickman,1965.0,75.17904361646048,178.2274332065076,United States
alberto-minetti,1957.0,69.0,181.0,Italy
luigi-della-bianca,1972.0,67.39027779482691,179.80082558001124,Italy
jannes-slendebroek,1959.0,79.15751374103885,193.03511173012757,Netherlands
primoz-cerin,1962.0,54.44160997820371,175.06526674829993,Yugoslavia
santiago-perez,1977.0,61.0,179.0,Spain
francisco-leon,1973.0,81.45748427213944,186.09953007527454,Spain
rein-taaramae,1987.0,68.0,186.0,Estonia
anselmo-fuerte-abelenda,1962.0,70.06653549750474,184.86784245164824,Spain
sebastien-chavanel,1981.0,77.0,183.0,France
andrei-nechita,1988.0,71.0,183.0,Romania
tadej-pogacar,1998.0,66.0,176.0,Slovenia
jay-sweet,1975.0,69.0,175.0,Australia
nic-hamilton,1986.0,64.13321987466074,181.6043128611727,Canada
enrico-barbin,1990.0,60.0,166.0,Italy
alain-van-den-bossche,1965.0,76.63846178649466,185.11468108911262,Belgium
mario-de-sarraga,1980.0,69.0,178.31605268887566,Spain
hubert-arbes,1950.0,61.68731489617413,178.18546788637494,France
kevin-seeldraeyers,1986.0,60.0,174.0,Belgium
peter-van-de-knoop,1957.0,70.62838015291639,189.41278401677368,Netherlands
daniele-righi,1976.0,70.0,180.0,Italy
felix-gall,1998.0,66.0,180.0,Austria
jordi-meeus,1998.0,80.0,190.0,Belgium
louis-de-koning,1967.0,69.1634722575442,179.23258020656567,Netherlands
harm-ottenbros,1943.0,66.99104161509644,182.31766144423395,Netherlands
stephan-joho,1963.0,85.53663202557243,195.53690538533428,Switzerland
andre-carvalho,1997.0,66.0,181.0,Portugal
miroslav-uryga,1962.0,73.74056972654456,179.94236249683908,Poland
luis-ricardo-mesa-saavedra,1973.0,66.33707884665348,181.44945450314484,Colombia
joseba-lopez-cuesta,2000.0,66.0,182.0,Spain
marco-villa,1969.0,68.14161656136203,180.0233187481026,Italy
jacques-jolidon,1969.0,71.31775076676716,183.699477891027,Switzerland
dirk-wayenberg,1955.0,64.51183035863397,178.38281886561342,Belgium
emils-liepins,1992.0,67.0,175.0,Latvia
jose-salvador-sanchis,1963.0,68.38503929608154,182.93132364588226,Spain
giulio-tomi,1978.0,63.36740099619309,167.45232381520273,Italy
vladimir-karpets,1980.0,79.0,190.0,Russia
tom-wirtgen,1996.0,77.0,190.0,Luxembourg
eric-berthou,1980.0,72.0,187.0,France
martin-emilio-rodriguez,1942.0,70.0,178.0,Colombia
claudio-cerri,1960.0,62.66751886896877,173.1077185518133,Italy
benoit-joachim,1976.0,82.0,188.0,Luxembourg
salvatore-scamardella,1979.0,62.768552162916876,181.35797444257616,Italy
florian-guillou,1982.0,71.0,195.0,France
david-munoz,1979.0,63.37838871909011,175.8308296854968,Spain
jos-de-schoenmaecker,1947.0,65.14524802956836,179.58112343332132,Belgium
andre-dierickx,1947.0,74.0,180.0,Belgium
claude-criquielion,1957.0,76.18098365211284,184.2954098734641,Belgium
stef-clement,1982.0,66.0,181.0,Netherlands
gosta-pettersson,1940.0,75.0,189.0,Sweden
silvano-lorenzon,1964.0,71.99221347397004,185.7142204500985,Italy
koen-beeckman,1973.0,66.0,177.0,Belgium
roberto-torres,1964.0,72.41794803156444,178.12639812265127,Spain
darren-lill,1982.0,59.5711260557775,168.10859408002634,South Africa
claudio-camin,1970.0,66.37501686038132,176.07054792525693,Italy
kurt-verleden,1963.0,81.33549537860212,187.39437422125164,Belgium
daniel-musiol,1983.0,70.0,182.0,Germany
michel-lafis,1967.0,78.0,185.0,Sweden
hugo-page,2001.0,71.0,185.0,France
axel-mariault,1998.0,58.0,169.0,France
maurizio-vandelli,1964.0,60.571124453148244,175.6196706179844,Italy
maciej-bodnar,1985.0,77.0,186.0,Poland
yecid-sierra,1994.0,66.0,184.0,Colombia
edgar-humberto-ruiz,1971.0,56.99232635498343,176.04856656190532,Colombia
laurens-de-vreese,1988.0,78.0,190.0,Belgium
harald-maier,1960.0,73.1207930825989,182.62339362600338,Austria
marco-brenner,2002.0,59.0,181.0,Germany
tony-martin,1985.0,75.0,185.0,Germany
jakub-kaczmarek,1993.0,66.0,181.0,Poland
filippo-zana,1999.0,65.0,185.0,Italy
miguel-angel-pena,1970.0,63.649891600317204,177.55366017137385,Spain
robert-alban,1952.0,67.94315355487177,178.28006145379305,France
matteo-bono,1983.0,60.0,171.0,Italy
antonio-coll,1959.0,66.70149469825188,175.17095931770854,Spain
manuel-mesa,1944.0,75.56212185094027,187.58844615782508,Spain
igor-anton,1983.0,64.0,173.0,Spain
raymond-kreder,1989.0,70.0,177.0,Netherlands
pierre-gautherat,2003.0,70.0,177.0,France
cees-jeurissen,1976.0,64.86656519673225,175.91936615240536,Netherlands
anthony-roux,1987.0,73.0,188.0,France
willy-in-t-ven,1943.0,70.74586843701351,183.72268266603524,Belgium
dmitry-nelyubin,1971.0,69.84558271885112,185.84116111202087,Russia
sebastian-schonberger,1994.0,64.0,181.0,Austria
ennio-salvador,1960.0,79.27880620016835,193.41140236876961,Italy
pierrick-fedrigo,1978.0,66.0,172.0,France
valerio-tebaldi,1965.0,68.76334846166608,177.22959549431755,Italy
marlon-alirio-perez-arango,1976.0,68.0,175.0,Colombia
giampaolo-cheula,1979.0,62.0,178.0,Italy
angel-madrazo,1988.0,61.0,171.0,Spain
antonio-tiberi,2001.0,62.0,182.0,Italy
vincent-lavenu,1956.0,82.22420859696463,190.13127480206572,France
jacky-coene,1946.0,66.16243906681296,173.96992138978055,Belgium
gorazd-stangelj,1973.0,70.0,182.0,Slovenia
theo-verschueren,1943.0,74.38748471886156,178.93357319612736,Belgium
arvis-piziks,1969.0,70.0,176.0,Latvia
markus-eichler,1982.0,78.0,185.0,Germany
torsten-hiekmann,1980.0,70.0,183.0,Germany
jelle-vanendert,1985.0,62.0,184.0,Belgium
sven-vandousselaere,1988.0,71.0,181.0,Belgium
jean-pierre-berckmans,1948.0,59.37907598226408,173.28594124567726,Belgium
pierino-primavera,1945.0,67.24672197975282,181.45067999497695,Italy
cristian-zanolini,1968.0,69.72423077481606,175.4512763533413,Italy
maurizio-fondriest,1965.0,70.0,182.0,Italy
iban-sastre-estevez,1977.0,63.508989969703,174.88004394116956,Spain
fausto-dotti,1968.0,64.00174346075262,179.31539159314394,Italy
fabio-sacchi,1974.0,68.0,183.0,Italy
pascal-eenkhoorn,1997.0,70.0,185.0,Netherlands
jean-zen,1981.0,62.97935821214124,171.3394938642046,France
john-van-asten,1960.0,66.15538993966932,180.85643236997257,Netherlands
stefan-schumacher,1981.0,71.0,183.0,Germany
mauro-simonetti,1948.0,72.99689199151902,184.1530275291185,Italy
chris-wherry,1973.0,66.7012330267777,183.16508524608057,United States
eladio-ambite,1970.0,66.23825810051133,177.0627617360714,Spain
daniele-pietropolli,1980.0,61.0,174.0,Italy
christian-meier,1985.0,61.0,172.0,Canada
davis-phinney,1959.0,69.76580124220237,185.60616802584335,United States
stefano-della-santa,1967.0,68.93265425295802,179.567690306287,Italy
dietrich-thurau,1954.0,64.35111672428542,185.31493212522162,Germany
arnaud-gerard,1984.0,70.0,184.0,France
christophe-lavainne,1963.0,66.82583756531471,177.28850018074672,France
gonzalo-rabunal-rios,1984.0,65.0,180.0,Spain
thomas-bonnet,1998.0,55.77495537286942,175.0,France
jean-jacques-philipp,1961.0,69.31246778878653,181.64154725026896,France
nico-verhoeven,1961.0,72.62546954344896,182.46397880437019,Netherlands
laurent-chotard,1976.0,71.94155191382444,180.2478646944561,France
frederic-garnier,1964.0,67.8301989633205,185.59209566556535,France
isaac-canton,1996.0,65.0,180.0,Spain
alain-vasseur,1948.0,67.0,175.0,France
jean-pierre-monsere,1948.0,66.0,178.0,Belgium
steven-caethoven,1981.0,67.0,176.0,Belgium
jose-maria-jimenez,1971.0,70.0,187.0,Spain
mattia-cattaneo,1990.0,67.0,184.0,Italy
james-knox,1995.0,58.0,173.0,Great Britain
geert-malfait,1953.0,70.86725688810037,179.30140792014544,Belgium
david-gaudu,1996.0,53.0,172.0,France
michele-laddomada,1972.0,63.35981545596568,178.0678744664429,Italy
bjarne-riis,1964.0,71.0,184.0,Denmark
jose-alberto-benitez-roman,1981.0,66.0,180.0,Spain
patrick-busolini2,1954.0,52.33642792310467,167.17900723345053,France
roberto-sgambelluri,1974.0,63.0,175.0,Italy
benno-wiss,1962.0,78.03031400663774,181.02262063130357,Switzerland
michal-hrazdira,1977.0,77.0,189.0,Czech Republic
robert-hunter,1977.0,72.0,178.0,South Africa
raffaello-bonusi,1992.0,58.08177416731404,160.0891497397656,Italy
harald-morscher,1972.0,75.57480056781898,184.30484309339974,Austria
thomas-champion,1999.0,70.0,193.0,France
enrico-franzoi,1982.0,70.0,178.0,Italy
mateusz-mroz,1980.0,68.36536747435056,182.3239295234945,Poland
