_url,birth_year,weight,height,nationality
dominic-klemme,1986.0,72.0,178.0,Germany
ricardo-otxoa,1974.0,66.76401219421554,176.71223752992483,Spain
nestor-oswaldo-mora,1963.0,65.97085233727098,185.82045753281687,Colombia
nico-verhoeven,1961.0,72.62546954344896,182.46397880437016,Netherlands
alain-von-allmen,1961.0,72.5025089938376,184.0290990573152,Switzerland
robert-kiserlovski,1986.0,72.0,180.0,Croatia
frederic-mainguenaud,1974.0,68.0,175.0,France
koen-beeckman,1973.0,66.0,177.0,Belgium
andre-meuwissen,1962.0,69.84697815789039,184.82958036436185,Belgium
jos-alberts,1961.0,72.38171703338712,185.1294881940921,Netherlands
samuel-cabrera,1960.0,75.60324745523044,180.375174159336,Colombia
geraint-thomas,1986.0,71.0,183.0,Great Britain
alexander-wetterhall,1986.0,70.0,185.0,Sweden
arkaitz-duran,1986.0,70.0,185.0,Spain
giuseppe-petito,1960.0,74.03290985873355,181.7098154898285,Italy
romain-villa,1985.0,71.0,184.0,France
maxim-belkov,1985.0,71.0,184.0,Russia
anselmo-fuerte-abelenda,1962.0,70.06653549750474,184.86784245164824,Spain
pietro-caucchioli,1975.0,68.0,175.0,Italy
john-devine,1985.0,71.15372429932981,183.4816640818744,United States
rafael-garcia,1961.0,71.43029322953701,185.50750402403744,Spain
bekim-leif-christensen,1973.0,66.0,178.0,Denmark
leandro-fioroni,1974.0,61.23352005638417,178.05798674396294,Italy
victor-hugo-pena,1974.0,65.0,178.0,Colombia
manuel-belletti,1985.0,72.0,175.0,Italy
kristof-goddaert,1986.0,72.0,182.0,Belgium
valerio-agnoli,1985.0,72.0,178.0,Italy
santiago-blanco,1974.0,66.0,178.0,Spain
fortunato-baliani,1974.0,66.0,178.0,Italy
pedro-jose-soler,1961.0,74.47912567955261,181.097677325708,Colombia
roberto-cordoba,1962.0,69.86791852430773,184.1213916099591,Spain
marco-giovannetti,1962.0,70.62766399911067,183.71462558716607,Italy
oscar-cavagnis,1974.0,65.73629372436874,177.01698096884272,Italy
domenico-cavallo,1961.0,74.45217042577568,181.28241845155523,Italy
michel-dernies,1961.0,75.0,180.0,Belgium
harald-maier,1960.0,73.1207930825989,182.62339362600335,Austria
matthew-brammeier,1985.0,72.0,181.0,Ireland
giovanni-renosto,1960.0,71.6885483639257,182.94465638551665,Italy
federico-de-beni,1973.0,62.9963994230808,178.5254515244154,Italy
kristijan-koren,1986.0,72.0,183.0,Slovenia
werner-wuller,1961.0,73.48464482227911,180.55504266705032,Germany
alberto-lopez-de-munain,1972.0,65.0,179.0,Spain
gregolry-panizo,1985.0,72.0,183.0,Brazil
enrique-mata-cabello,1985.0,72.0,183.0,Spain
dmitro-krivtsov,1985.0,72.0,183.0,Ukraine
arsenio-gonzalez,1960.0,75.33274472955071,182.21458103767705,Spain
dariusz-kajzer,1961.0,74.23678459818032,182.7676105900858,Germany
luc-meersman,1960.0,71.24570338735123,183.29509540234164,Belgium
sergio-dominguez-munoz,1986.0,72.23159215940512,174.33618937134145,Spain
thierry-lauder,1974.034034856955,65.15577805853286,176.92488525305458,France
michael-morkov,1985.0,71.0,183.0,Denmark
joeri-calleeuw,1985.0,71.0,183.0,Belgium
matias-cagigas,1974.0,64.93275887826945,179.1608784194756,Spain
kai-reus,1985.0,70.0,185.0,Netherlands
javier-chacon-quesada,1985.0,70.0,185.0,Spain
martin-velits,1985.0,70.0,185.0,Slovakia
nicolai-kosyakov,1974.034034856955,60.205033528721096,177.90437050122043,Russia
jose-antonio-garrido-lima,1975.0,68.0,176.0,Spain
edi-kagi,1960.0,70.61840774832838,183.5018934419158,Switzerland
claudio-vandelli,1961.0,73.71173824967634,185.19703177308423,Italy
rolf-golz,1962.0,69.74296385532887,187.80905698659177,Germany
fabiano-gambirasio,1961.0,74.10951556416212,183.88386583565975,Italy
rene-joergensen,1975.0,60.0,179.0,Denmark
jan-koba,1962.0,73.87142108053875,180.00076285232288,Czech Republic
claude-seguy,1961.0,68.63164614760204,183.78250015514865,France
francesco-tomei,1985.0,72.4072452543347,174.15745156181669,Italy
adrian-saez-de-arregi,1986.0,70.0,184.0,Spain
pierre-rolland,1986.0,70.0,184.0,France
pavel-kochetkov,1986.0,70.0,184.0,Russia
patrice-esnault,1961.0,73.20817568659588,186.506570907031,France
eric-caritoux,1960.0,71.29566498078131,181.6995924029746,France
mirko-celestino,1974.0,67.0,173.0,Italy
stephen-hodge,1961.0,74.0,185.0,Australia
riccardo-ferrari,1972.0,64.1648716463485,179.89675164673145,Italy
johan-de-geyter,1972.0,65.5333708065556,178.20307750463192,Belgium
daniele-contrini,1974.0,65.13825188094837,175.89006927178585,Italy
thomas-de-gendt,1986.0,73.0,179.0,Belgium
florent-barle,1986.0,72.0,184.0,France
philippe-lauraire,1961.0,71.19609966052646,186.42032382429025,France
fabrizio-arzilli,1972.0,66.25351319863955,177.64816740928367,Italy
brice-feillu,1985.0,69.0,190.0,France
vicente-barbera,1963.0,68.66508843190539,185.2891532551164,Spain
mitchell-docker,1986.0,73.0,180.0,Australia
andrey-amador,1986.0,73.0,180.0,Costa Rica
pablo-soler,1975.0,66.52941013805103,178.32265192450078,Spain
marco-magnani,1974.0,64.0,177.0,Italy
laurent-roux,1972.0,68.01368169606819,176.44379441830665,France
miroslav-uryga,1962.0,73.74056972654456,179.94236249683908,Poland
ezio-serpelloni,1959.0,72.1304997070873,179.8934620655351,Italy
doug-shapiro,1959.0,71.75378934697616,180.0828130382169,United States
romeo-hernandez,1975.0,62.89071200198518,179.80147580880256,Belgium
philip-vereecke,1975.0,62.80869908267023,179.7547439428297,Belgium
julian-gorospe,1960.0,74.70163976381248,183.5049136530753,Spain
dario-andriotto,1972.0,68.0,177.0,Italy
gianmarco-saccani,1959.0,74.03253763225233,176.0532988925708,Italy
artur-krzeszowiec,1972.0,64.44334313451547,179.90802591744128,Poland
matej-jurco,1984.0,69.0,186.0,Slovakia
goncalo-amorim,1972.0,67.0,177.0,Portugal
laurent-estadieu,1975.0,67.0,172.0,France
simone-leporatti,1972.0,65.0966376157252,178.27133907310713,Italy
fernando-carvalho,1962.0,71.55998166695291,182.19336280754592,Portugal
vladimir-muravski,1959.0,73.42378594647234,178.99997462544377,Belarus
pete-sanders,1961.0,75.39054098925142,181.81785866988164,Great Britain
marco-antonio-leon,1962.0,69.2035080557848,183.63994990531924,Colombia
jesus-rodriguez-carballido,1962.0,74.35794555519617,179.93358677953208,Spain
