_url,birth_year,weight,height,nationality
jose-fernando-pacheco,1962.0,77.08347296261695,171.93682147906898,Spain
micula-dematteis,1983.0,71.01461962788967,170.24420373036045,Italy
nicola-gavazzi,1978.0,67.8483657653469,163.8333341702786,Italy
david-livramento,1983.0,55.0,182.0,Portugal
patrick-robeet,1964.0,65.9407897218915,189.8448689997445,Belgium
corey-sweet,1976.0,66.14684297201194,165.2687686918134,Australia
steve-bauer,1959.0,72.0,170.0,Canada
karl-kalin,1965.0,64.51005367630313,189.6427096053378,Switzerland
patrick-verplancke,1962.0,63.5968360858984,188.62536517388384,Belgium
juan-carlos-castillo,1964.0,76.84012211104184,174.5039446950777,Colombia
lorenzo-cardellini,1978.0,57.044726876102544,179.09248568260656,Italy
gerrit-solleveld,1961.0,93.0,183.0,Netherlands
vincent-van-der-kooij,1979.0,46.19969479517272,168.01584705039522,Netherlands
salvatore-commesso,1975.0,66.0,164.0,Italy
rob-goris,1982.0,87.0,184.0,Belgium
mike-terpstra,1987.0,64.0,189.0,Netherlands
francisco-rodriguez,1960.0,63.82473122698427,188.2838890145405,Colombia
fabio-bulgarelli,1977.0,72.88520867042587,168.6961061841238,Italy
florian-guillou,1982.0,71.0,195.0,France
linas-balciunas,1978.0,90.0,196.0,Lithuania
jens-mouris,1980.0,91.0,198.0,Netherlands
alex-rasmussen,1984.0,88.0,186.0,Denmark
michael-friedman,1982.0,82.0,175.0,United States
eduardo-acevedo-porras,1965.0,82.52800075643093,178.3872037661927,Colombia
caleb-ewan,1994.0,69.0,167.0,Australia
magnus-backstedt,1975.0,94.0,194.0,Sweden
masatoshi-ichikawa,1961.0,49.27671761595022,159.0,Japan
danilo-napolitano,1981.0,81.0,174.0,Italy
wouter-wippert,1990.0,75.0,170.0,Netherlands
jose-humberto-rujano,1982.0,48.0,162.0,Venezuela
vicente-belda,1954.0,52.85973823672315,154.0,Spain
abelardo-rios,1952.0,63.0,161.0,Colombia
ondrej-sosenka,1975.0,82.0,200.0,Czech Republic
rafael-ladron,1952.0,74.0,170.0,Spain
igor-flores,1973.0,66.30769882093573,193.7757815744716,Spain
paulino-martinez,1952.0,80.0,176.0,Spain
heiner-rodrigo-parra,1991.0,51.0,160.0,Colombia
robert-forster,1978.0,83.0,177.0,Germany
clinton-avery,1987.0,90.0,195.0,New Zealand
romain-gioux,1986.0,49.65120255524675,160.0,France
michael-kolar,1992.0,90.0,185.0,Slovakia
javier-francisco-elorriaga,1947.0,85.0,179.0,Spain
alberto-fernandez-blanco,1955.0,83.5268454003092,201.871142887594,Spain
lucien-zelck,1952.0,79.59724609316801,201.64250216915693,Belgium
julien-stevens,1943.0,58.859755497939325,184.2743953017038,Belgium
wladimiro-panizza,1945.0,56.57072278166697,157.0,Italy
conor-dunne,1992.0,88.0,204.0,Ireland
jesus-aranzabal,1939.0,66.0852184194438,186.2896999221551,Spain
jo-vrancken,1948.0,86.0391313237553,203.67629659251816,Netherlands
alfons-de-bal,1943.0,50.19353656749405,155.0,Belgium
raymond-poulidor,1936.0,59.55211551296259,170.6234615680643,France
hans-junkermann,1934.0,77.83652417179962,185.96837402457496,Germany
ventura-diaz,1937.0,72.0,171.0,Spain
rik-van-looy,1933.0,73.0,178.0,Belgium
aldo-moser,1934.0,54.43357081075397,173.8674804995647,Italy
